"id","Year","Paper","Keyword_1","Keyword_2","Keyword_3","Keyword_4","NewKeyword"
"11","1997","qualitative relevance and independence:  a roadmap","automated reasoning"," belief revision","nan","nan","knowledge representation"
"12","1997","the complexity of belief update","automated reasoning"," belief revision","nan","nan","knowledge representation"
"13","1997","anytime belief revision","automated reasoning"," belief revision","nan","nan","knowledge representation"
"14","1997","towards generalized rule-based updates","automated reasoning"," belief revision","nan","nan","knowledge representation"
"15","1997","representation theorems for multiple belief changes","automated reasoning"," belief revision","nan","nan","knowledge representation"
"16","1997","nonmonotonic reasoning and multiple belief revision","automated reasoning"," belief revision","nan","nan","knowledge representation"
"17","1997","high performance atp systems by combining several ai methods","automated reasoning"," theorem proving","nan","nan","knowledge representation"
"18","1997","equational reasoning using ac constraints","automated reasoning"," theorem proving","nan","nan","knowledge representation"
"19","1997","strategies in rigid-variable methods","automated reasoning"," theorem proving","nan","nan","knowledge representation"
"20","1997","tractable cover compilations","automated reasoning"," propositional kbs","nan","nan","knowledge representation"
"21","1997","a four-valued fuzzy propositional logic","automated reasoning"," propositional kbs","nan","nan","knowledge representation"
"22","1997","autoepistemic description logics","automated reasoning"," description logic","nan","nan","knowledge representation"
"23","1997","reifying concepts in description logics","automated reasoning"," description logic","nan","nan","knowledge representation"
"24","1997","circumscribing inconsistency","automated reasoning"," nonmonotonism","nan","nan","knowledge representation"
"25","1997","a default interpretation of defeasible network","automated reasoning"," nonmonotonism","nan","nan","knowledge representation"
"26","1997","a cumulative-model semantics for dynamic preferences on assumptions","automated reasoning"," nonmonotonism","nan","nan","knowledge representation"
"27","1997","compiling reasoning with and about preferences into default logic","automated reasoning"," nonmonotonism","nan","nan","knowledge representation"
"28","1997","learning extended logic programs","automated reasoning"," nonmonotonism for logic programming","nan","nan","knowledge representation"
"29","1997","compiling prioritized circumscription into extended logic programs","automated reasoning"," nonmonotonism for logic programming","nan","nan","knowledge representation"
"30","1997","prefixed tableaux systems for modal logics with enriched languages","automated reasoning"," modal logic","nan","nan","knowledge representation"
"31","1997","a set-theoretic approach to automated deduction in graded modal logics","automated reasoning"," modal logic","nan","nan","knowledge representation"
"32","1997","on evaluating decision procedures for modal logic","automated reasoning"," modal logic","nan","nan","knowledge representation"
"33","1997","preduction:  a common form of induction and analogy","automated reasoning","nan","nan","nan","knowledge representation"
"34","1997","analogy and abduction in automated deduction","automated reasoning","nan","nan","nan","knowledge representation"
"35","1997","how similar is very young to 43 years of age? on the representation and comparison of polymorphic properties","case-based reasoning","nan","nan","nan","machine learning"
"36","1997","the competence of sub-optimal theories of structure mapping on hard analogies","case-based reasoning","nan","nan","nan","machine learning"
"37","1997","an average-case analysis of the k-nearest neighbar classifier for noisy domains","case-based reasoning","nan","nan","nan","machine learning"
"38","1997","learning to integrate multiple knowledge sources for case-based reasoning","case-based reasoning","nan","nan","nan","machine learning"
"39","1997","aggregating features and matching cases on vague linguistic expressions","case-based reasoning","nan","nan","nan","machine learning"
"40","1997","using case-based reasoning in interpreting unsupervised inductive learning results","case-based reasoning","nan","nan","nan","machine learning"
"41","1997","acquisition of human feelings in music arrangements","cognitive modeling","nan","nan","nan","cognitive modeling"
"42","1997","using data and theory in multistretegy (mis)concept(ion) discovery","cognitive modeling","nan","nan","nan","cognitive modeling"
"43","1997","an aggregation procedure for building episodic memory","cognitive modeling","nan","nan","nan","cognitive modeling"
"44","1997","an achievement test for knowledge-based systems:  quem","cognitive modeling","nan","nan","nan","cognitive modeling"
"45","1997","a functional theory of design patterns","cognitive modeling","nan","nan","nan","cognitive modeling"
"46","1997","mental tracking:  a computational model of spatial development","cognitive modeling","nan","nan","nan","cognitive modeling"
"47","1997","in the quest of the missing link","cognitive modeling","nan","nan","nan","cognitive modeling"
"48","1997","implementing bdi-like systems by direct execution","cognitive modeling","nan","nan","nan","cognitive modeling"
"49","1997","managing decision resources in plan execution","cognitive modeling","nan","nan","nan","cognitive modeling"
"50","1997","use of abstraction and complexity levels in intelligent educational system design","constraint satisfaction"," constraint programming","nan","nan","search & constraint satisfaction"
"51","1997","reasoning symbolically about partially matched cases","constraint satisfaction"," constraint programming","nan","nan","search & constraint satisfaction"
"52","1997","task ontology makes it easier to use authoring tools","constraint satisfaction"," constraint programming","nan","nan","search & constraint satisfaction"
"53","1997","semiring-based constraint logic programming","computer-aided eduction","nan","nan","nan","applications"
"54","1997","computational complexity of multi-way, dataflow constraint problems","computer-aided eduction","nan","nan","nan","applications"
"55","1997","heuristics based on unit propagation for satisfiability problems","constraint satisfaction"," sat","nan","nan","search & constraint satisfaction"
"56","1997","hidden gold in random generation of sat satisfiable instances","constraint satisfaction"," sat","nan","nan","search & constraint satisfaction"
"57","1997","discrete lagrangian-based search for solving max-sat problems","constraint satisfaction"," sat","nan","nan","search & constraint satisfaction"
"58","1997","learning short-term weights for gsat","constraint satisfaction"," sat","nan","nan","search & constraint satisfaction"
"59","1997","local consistency for ternary numeric constraints","constraint satisfaction"," local consistency","nan","nan","search & constraint satisfaction"
"60","1997","arc consistency for general constraint networks:  preliminary results","constraint satisfaction"," local consistency","nan","nan","search & constraint satisfaction"
"61","1997","constraint satisfaction over connected row convex constraints","constraint satisfaction"," local consistency","nan","nan","search & constraint satisfaction"
"62","1997","some practicable filtering techniques for the constraint satisfaction problem","constraint satisfaction","nan","nan","nan","search & constraint satisfaction"
"63","1997","structuring techniques for constraint satisfaction problems","constraint satisfaction","nan","nan","nan","search & constraint satisfaction"
"64","1997","merging constraint satisfaction subproblems to avoid redundant search","constraint satisfaction","nan","nan","nan","search & constraint satisfaction"
"65","1997","locating faults in tree-structured networks","diagnosis","nan","nan","nan","cognitive modeling"
"66","1997","diagnosing tree structured systems","diagnosis","nan","nan","nan","cognitive modeling"
"67","1997","event-based reasoning for short circuit diagnosis in power transmission networks","diagnosis","nan","nan","nan","cognitive modeling"
"68","1997","exploiting domain knowledge for approximate diagnosis","diagnosis","nan","nan","nan","cognitive modeling"
"69","1997","semantically guided theorem proving for diagnosis applications","diagnosis","nan","nan","nan","cognitive modeling"
"70","1997","a static model-based engine for model-based reasoning","diagnosis","nan","nan","nan","cognitive modeling"
"71","1997","polynomial temporal band sequences for analog diagnosis","diagnosis","nan","nan","nan","cognitive modeling"
"72","1997","fundamentals of model-based diagnosis of dynamic systems","diagnosis","nan","nan","nan","cognitive modeling"
"73","1997","comparative analysis of structurally different dynamical systems","diagnosis","nan","nan","nan","cognitive modeling"
"74","1997","a web-based compositional modeling system for sharing of physical knowledge","qualiative reasoning"," modeling support","nan","nan","cognitive modeling"
"75","1997","a causal time ontology for qualitative reasoning","qualiative reasoning"," modeling support","nan","nan","cognitive modeling"
"76","1997","qualitative reasoning about perception and belief","qualiative reasoning"," perception and belief","nan","nan","cognitive modeling"
"77","1997","rule-based contact monitoring using examples obtained by task demonstration","qualiative reasoning"," perception and belief","nan","nan","cognitive modeling"
"78","1997","on the complexity of qualitative spatial reasoning:  a maximal tractable fragment of the region connection calculus","qualiative reasoning"," geometric and spatial reasoning","nan","nan","cognitive modeling"
"79","1997","automation of diagrammatic reasoning","qualiative reasoning"," geometric and spatial reasoning","nan","nan","cognitive modeling"
"80","1997","structural inferences from massive datasets","qualiative reasoning"," geometric and spatial reasoning","nan","nan","cognitive modeling"
"81","1997","qualitative analysis of causal graphs with equilibrium type-transition","qualiative reasoning"," causality","nan","nan","cognitive modeling"
"82","1997","action localness, genericity and invariants in strips","qualiative reasoning"," causality","nan","nan","cognitive modeling"
"83","1997","causality, constraints and indirect effects","qualiative reasoning"," causality","nan","nan","cognitive modeling"
"84","1997","redesigning a problem-solver's operations to improve solution quality","qualiative reasoning","nan","nan","nan","cognitive modeling"
"85","1997","formal specifications for hybrid dynamical systems","qualiative reasoning","nan","nan","nan","cognitive modeling"
